Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001179,Male,Yes,2,Graduate,No,4520,0,136,180,0,Urban,N
LP001811,Male,Yes,0,Not Graduate,No,3152,3915,127,180,0,Semiurban,Y
LP001030,Male,Yes,2,Graduate,No,1372,1107,16,240,0,Urban,Y
LP001736,Male,Yes,0,Graduate,No,2163,0,71,360,1,Urban,N
LP001653,Male,No,0,Not Graduate,No,4921,0,52,240,1,Rural,Y
LP002836,Male,No,0,Graduate,No,3160,0,65,360,0,Urban,Y
LP001572,Male,Yes,0,Graduate,No,8282,0,81,360,1,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,5368,0,139,360,1,Rural,Y
LP002300,Female,No,0,Not Graduate,No,2109,0,51,360,1,Semiurban,Y
LP002768,Male,No,0,Not Graduate,No,3761,0,71,360,0,Semiurban,N
LP002453,Male,No,0,Graduate,Yes,6537,0,86,240,0,Semiurban,Y
LP002917,Female,No,0,Not Graduate,No,1815,0,74,240,1,Semiurban,Y
LP001578,Male,Yes,0,Graduate,No,2314,3654,138,120,0,Rural,Y
LP002720,Male,Yes,3+,Graduate,No,4373,0,106,120,0,Urban,Y
LP002068,Male,No,0,Graduate,No,4654,0,101,120,0,Rural,Y
LP001095,Male,No,0,Graduate,No,3141,0,77,180,0,Urban,N
LP002723,Male,No,2,Graduate,No,3788,0,100,240,1,Rural,N
LP001744,Male,No,0,Graduate,No,2880,2875,126,180,0,Semiurban,Y
LP001720,Male,Yes,3+,Not Graduate,No,3472,928,85,360,1,Semiurban,Y
LP002723,Male,No,2,Graduate,No,3383,0,93,240,1,Rural,N
LP001616,Male,Yes,1,Graduate,No,4230,0,113,360,0,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,2582,879,73,120,0,Urban,Y
LP002705,Male,Yes,0,Graduate,No,3236,0,113,360,0,Semiurban,Y
LP002484,Male,Yes,3+,Graduate,No,7456,0,119,360,1,Urban,Y
LP002894,Female,Yes,0,Graduate,No,3245,0,38,240,1,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4454,719,67,120,1,Semiurban,N
LP002505,Male,Yes,0,Graduate,No,3403,2324,90,120,0,Urban,N
LP001616,Male,Yes,1,Graduate,No,4017,0,124,240,0,Semiurban,Y
LP002143,Female,Yes,0,Graduate,No,2463,518,145,180,0,Semiurban,Y
LP002738,Male,No,2,Graduate,No,3371,0,112,240,0,Semiurban,Y
LP001572,Male,Yes,0,Graduate,No,8340,0,77,180,0,Urban,Y
LP002087,Female,No,0,Graduate,No,2793,0,91,360,1,Urban,Y
LP002418,Male,No,3+,Not Graduate,No,4237,1498,128,180,0,Semiurban,Y
LP002114,Female,No,0,Graduate,No,4525,0,81,120,0,Semiurban,Y
LP001493,Male,Yes,2,Not Graduate,No,4523,1412,111,360,0,Rural,N
LP002585,Male,Yes,0,Graduate,No,3597,2157,119,180,0,Rural,N
LP002692,Male,Yes,3+,Graduate,Yes,6090,1436,95,180,1,Rural,Y
LP001722,Male,Yes,0,Graduate,No,146,1694,150,180,0,Rural,N
LP001259,Male,Yes,1,Graduate,Yes,896,2597,101,180,1,Urban,N
LP002031,Male,Yes,1,Not Graduate,No,3636,1524,110,240,0,Urban,Y
LP002777,Male,Yes,0,Graduate,No,2288,2022,110,120,1,Rural,Y
LP001024,Male,Yes,2,Graduate,No,3105,561,79,120,1,Urban,Y
LP001493,Male,Yes,2,Not Graduate,No,4443,1576,133,120,0,Rural,N
LP001265,Female,No,0,Graduate,No,4271,0,120,120,0,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,2418,998,80,360,0,Urban,Y
LP001032,Male,No,0,Graduate,No,4614,0,115,180,0,Urban,Y
